,player_name,kills,deaths,wins,losess,xp,headshots,melee_kills,games_played,time_played
2948,OpT-MaTriix_,33943,29758,4216,3396,93117590,15625,628,7612,2335
2949,xlShotsl-,16276,15485,2078,1835,42679765,7153,242,3913,1228
2950,xkosaa,21491,15326,2920,1368,51982231,7660,279,4288,1186
2951,LEFTY_B777,33750,31172,3796,3136,88411474,13489,661,6932,2333
2952,iTzRevolutiionZz,12118,11178,1443,1081,34726074,4247,149,2524,817
2953,Question_ko,20030,14633,2169,1239,52451396,7370,224,3408,1111
2954,iTs_RaFiTaA-,24529,21145,3024,2427,68270838,8211,603,5451,1611
2955,vVykzoXim,27406,20293,3718,2503,65079585,9628,505,6221,1552
2956,Rxmav_,16924,13521,2158,1525,38726668,6033,391,3683,1061
2957,Kryprino,22145,20074,2536,2128,60927840,9942,171,4664,1382
2958,ViniiTheBeast-,4588,3388,487,292,10012768,2253,70,779,253
2959,TruIyHayden,960,587,105,41,2098701,318,2,146,44
2960,Luuuke20,41131,36426,4909,4283,116282135,14473,712,9192,2628
2961,God1n--,20281,16896,2369,2015,56379143,7320,414,4384,1360
2962,makscanada,19392,18579,2241,1854,46997431,9085,333,4095,1273
2963,ALEX-JUVENTUS10,24529,21145,3024,2427,68270838,8211,603,5451,1611
2964,Zaexty,33943,29758,4216,3396,93117590,15625,628,7612,2335
2965,oldjae,27406,20293,3718,2503,65079585,9628,505,6221,1552
2966,D3ad-Huntxr021,1224,690,138,66,2730702,420,19,204,54
2967,SixPathsUber,7401,5673,948,517,17330665,2941,142,1465,466
2968,J-Laney,14605,12219,1409,1159,33328234,7534,211,2568,800
2969,Did-You_Miss-Mee,42585,30307,5687,2949,110551012,14208,550,8636,2544
2970,BlameDome,1454,1389,180,150,4357901,526,41,330,102
2971,MoDonly,5447,4745,547,468,13623143,2030,42,1015,327
2972,SwYeNoX-,23409,17163,2386,1811,60000878,8907,140,4197,1274
2973,Skinkeryttter,12645,8856,1106,890,32146264,4668,510,1996,645
2974,OmerNanakali,3539,1978,435,190,8626065,1518,44,625,184
2975,MW_IRAQ,29389,25610,3451,2878,79382340,11922,452,6329,1881
2976,CTLApocalyptic,22712,16317,2357,1565,56825006,8579,232,3922,1238
2977,Mobile-GaMeRr,11239,10301,1480,1189,32539144,4172,280,2669,763
2978,eCanadian,11481,9598,1283,1051,32178576,4267,154,2334,725
2979,extremehazratak,9024,9620,1210,1096,22416869,3819,150,2306,698
2980,run_high5,8513,7576,851,719,21935253,3868,101,1570,498
2981,ismaele-vecchio,17347,13563,2238,1311,46183695,6612,271,3549,1122
2982,StarkAnpi,7463,6270,807,667,19282720,3189,68,1474,483
2983,DUREX_PLaiiSiiR,24381,21287,3431,2222,58856095,9047,331,5653,1545
2984,Bowl_patrol88,36438,25087,3534,2759,92152084,13786,434,6293,2000
2985,LuisG_789,8851,7648,1052,758,23454750,3296,62,1810,579
2986,Bxoken,22087,17062,2185,1767,51607406,10823,460,3952,1213
2987,jwzauke,1217,829,146,61,3184674,412,14,207,64
2988,BuNny-_-Gaming,3303,2859,339,271,8409660,1333,20,610,208
2989,Moskapitao,20040,21947,2587,2492,49978272,8709,575,5079,1451
2990,iTzGio_EU,31858,23349,4373,2647,77158654,12815,738,7020,1818
2991,HBKFrenzy,25644,22542,3135,2495,67313022,8549,492,5630,1704
2992,Martiins-_,28844,23712,3275,2784,67351015,10343,685,6059,1697
2993,fill9n,42233,36733,4355,3947,104212809,17324,770,8302,2600
2994,Yaykr,1517,1014,166,82,3446854,664,5,248,73
2995,vThiiaGoX-,10107,7486,1081,796,24193045,3826,174,1877,566
2996,Salvi_J2,24166,21143,2578,2234,65265947,8750,568,4812,1478
2997,iPxPPeR--,39832,34167,4546,3554,92292999,18116,922,8100,2499
2998,ToughMOJO,35030,29709,4717,2775,86148773,12956,567,7492,2282
2999,Mystical_steve,22186,22636,2590,2297,60326795,8280,177,4887,1491
3000,LuisG_789,21425,11600,2202,1289,49487408,8831,108,3491,1133
3001,BuNny-_-Gaming,25431,25019,3369,2799,75939112,9108,355,6168,1867
